Time[s]	Pressure[mbar]	Position_smooth_splines [deg]	Velocity[deg\s]	Aceleration[deg\s2]	Position_original [deg]
0	0.066619	0	0	19.73182	1.143341e-09
5e-05	0.053295	2.467088e-08	0.00098695728	19.746471	0.001194
0.0001	-0.053295	9.8707938e-08	0.0019746471	19.761122	0.001194
0.00015	-0.013324	2.221478e-07	0.0029630695	19.775773	0.001194
0.0002	0.093266	3.950271e-07	0.0039522244	19.790424	0.001194
0.00025	0.039971	6.1738245e-07	0.0049421119	19.805075	0.001194
0.0003	0.066619	8.8925049e-07	0.0059327319	19.819726	0.001194
0.00035	0.146562	1.2106678e-06	0.0069240844	19.834377	0.001194
0.0004	0.053295	1.5816711e-06	0.0079161695	19.849027	0.001194
0.00045	0.079943	2.002297e-06	0.0089089872	19.863678	0.001194
0.0005	0.026648	2.4725821e-06	0.0099025374	19.878329	0.001194
0.00055	-0.039971	2.992563e-06	0.01089682	19.89298	0.001194
0.0006	0.026648	3.5622763e-06	0.011891835	19.907631	0.001194
0.00065	0.119914	4.1817587e-06	0.012887583	19.922282	0.001194
0.0007	0.093266	4.8510468e-06	0.013884064	19.936933	0.001194
0.00075	0.066619	5.5701773e-06	0.014881277	19.951584	0.001194
0.0008	-0.026648	6.3391867e-06	0.015879222	19.966235	0.001194
0.00085	0.10659	7.1581117e-06	0.0168779	19.980886	0.001194
0.0009	0.066619	8.0269889e-06	0.017877311	19.995537	0.001194
0.00095	0.039971	8.9458549e-06	0.018877454	20.010187	0.001194
0.001	-0.039971	9.9147465e-06	0.019878329	20.024838	0.001194
0.00105	0.013324	1.09337e-05	0.020879937	20.039489	0.001194
0.0011	0.133238	1.2002752e-05	0.021882278	20.05414	0.001194
0.00115	0.013324	1.312194e-05	0.022885351	20.068791	0.001194
0.0012	0.013324	1.42913e-05	0.023889157	20.083442	0.001194
0.00125	-0.079943	1.5510868e-05	0.024893696	20.098093	0.001194
0.0013	-0.013324	1.6780682e-05	0.025898967	20.112744	0.001194
0.00135	0.079943	1.8100777e-05	0.02690497	20.127395	0.001194
0.0014	0.013324	1.9471191e-05	0.027911706	20.142046	0.001194
0.00145	0	2.089196e-05	0.028919175	20.156696	0.001194
0.0015	-0.026648	2.236312e-05	0.029927376	20.171347	0.002388
0.00155	0.026648	2.388471e-05	0.030936309	20.185998	0.002388
0.0016	0.039971	2.5456764e-05	0.031945976	20.200649	0.002388
0.00165	0.039971	2.7079319e-05	0.032956374	20.2153	0.002388
0.0017	-0.053295	2.8752413e-05	0.033967506	20.229951	0.002388
0.00175	-0.013324	3.0476082e-05	0.034979369	20.244602	0.002388
0.0018	0.093266	3.2250362e-05	0.035991966	20.259253	0.002388
0.00185	0.026648	3.4075291e-05	0.037005295	20.273904	0.002388
0.0019	0.053295	3.5950904e-05	0.038019356	20.288555	0.002388
0.00195	-0.013324	3.7877239e-05	0.03903415	20.303206	0.002388
0.002	0.039971	3.9854331e-05	0.040049677	20.317856	0.002388
