Time[s]	Pressure[mbar]	Position_smooth_splines [deg]	Velocity[deg\s]	Aceleration[deg\s2]	Position_original [deg]
0	-0.119914	2.4286129e-17	2.220446e-16	21.15188	1.143341e-09
5e-05	-0.039971	2.6445791e-08	0.0010579505	21.166139	0.001194
0.0001	-0.066619	1.0580693e-07	0.0021166139	21.180397	0.001194
0.00015	-0.079943	2.3811906e-07	0.0031759902	21.194656	0.001194
0.0002	-0.133238	4.2341783e-07	0.0042360795	21.208915	0.001194
0.00025	-0.079943	6.6173889e-07	0.0052968817	21.223173	0.001194
0.0003	-0.053295	9.5311789e-07	0.0063583968	21.237432	0.001194
0.00035	-0.093266	1.2975905e-06	0.0074206249	21.25169	0.001194
0.0004	-0.173209	1.6951923e-06	0.0084835659	21.265949	0.001194
0.00045	-0.10659	2.1459589e-06	0.0095472198	21.280208	0.001194
0.0005	-0.013324	2.6499261e-06	0.010611587	21.294466	0.001194
0.00055	-0.093266	3.2071295e-06	0.011676666	21.308725	0.001194
0.0006	-0.10659	3.8176046e-06	0.012742459	21.322983	0.001194
0.00065	-0.146562	4.4813873e-06	0.013808965	21.337242	0.001194
0.0007	-0.079943	5.198513e-06	0.014876183	21.351501	0.001194
0.00075	-0.079943	5.9690175e-06	0.015944115	21.365759	0.001194
0.0008	-0.133238	6.7929363e-06	0.017012759	21.380018	0.001194
0.00085	-0.159885	7.6703053e-06	0.018082117	21.394276	0.001194
0.0009	-0.119914	8.6011599e-06	0.019152187	21.408535	0.001194
0.00095	-0.013324	9.5855358e-06	0.02022297	21.422793	0.001194
0.001	-0.10659	1.0623469e-05	0.021294466	21.437052	0.001194
0.00105	-0.079943	1.1714994e-05	0.022366675	21.451311	0.001194
0.0011	-0.173209	1.2860148e-05	0.023439597	21.465569	0.001194
0.00115	-0.10659	1.4058966e-05	0.024513232	21.479828	0.001194
0.0012	-0.039971	1.5311483e-05	0.02558758	21.494086	0.001194
0.00125	-0.066619	1.6617736e-05	0.026662641	21.508345	0.001194
0.0013	-0.079943	1.7977759e-05	0.027738415	21.522604	0.001194
0.00135	-0.173209	1.9391589e-05	0.028814901	21.536862	0.001194
0.0014	-0.119914	2.0859261e-05	0.029892101	21.551121	0.001194
0.00145	-0.066619	2.2380811e-05	0.030970013	21.565379	0.001194
0.0015	-0.119914	2.3956274e-05	0.032048639	21.579638	0.001194
0.00155	-0.146562	2.5585687e-05	0.033127977	21.593897	0.001194
0.0016	-0.159885	2.7269084e-05	0.034208028	21.608155	0.001194
0.00165	-0.199857	2.9006502e-05	0.035288793	21.622414	0.001194
0.0017	-0.093266	3.0797975e-05	0.03637027	21.636672	0.001194
0.00175	-0.146562	3.264354e-05	0.03745246	21.650931	0.001194
0.0018	-0.21318	3.4543233e-05	0.038535363	21.66519	0.002388
0.00185	-0.10659	3.6497089e-05	0.039618979	21.679448	0.002388
0.0019	0	3.8505143e-05	0.040703308	21.693707	0.002388
0.00195	-0.10659	4.0567431e-05	0.041788349	21.707965	0.002388
0.002	-0.119914	4.268399e-05	0.042874104	21.722224	0.002388
0.00205	-0.133238	4.4854854e-05	0.043960572	21.736482	0.002388
0.0021	-0.093266	4.7080059e-05	0.045047752	21.750741	0.002388
0.00215	-0.053295	4.9359641e-05	0.046135646	21.765	0.002388
0.0022	-0.10659	5.1693635e-05	0.047224252	21.779258	0.002388
0.00225	-0.186533	5.4082078e-05	0.048313572	21.793517	0.002388
0.0023	-0.079943	5.6525004e-05	0.049403604	21.807775	0.002388
0.00235	-0.026648	5.902245e-05	0.050494349	21.822034	0.002388
0.0024	-0.079943	6.1574451e-05	0.051585807	21.836293	0.002388
0.00245	-0.093266	6.4181043e-05	0.052677979	21.850551	0.002388
0.0025	-0.199857	6.6842261e-05	0.053770863	21.86481	0.002388
0.00255	-0.093266	6.9558141e-05	0.05486446	21.879068	0.002388
0.0026	-0.039971	7.2328719e-05	0.055958769	21.893327	0.002388
0.00265	-0.159885	7.515403e-05	0.057053792	21.907586	0.002388
0.0027	-0.133238	7.803411e-05	0.058149528	21.921844	0.002388
0.00275	-0.186533	8.0968994e-05	0.059245977	21.936103	0.002388
0.0028	-0.053295	8.3958719e-05	0.060343138	21.950361	0.002388
0.00285	-0.093266	8.700332e-05	0.061441013	21.96462	0.002388
0.0029	-0.079943	9.0102832e-05	0.0625396	21.978878	0.002388
0.00295	-0.186533	9.3257292e-05	0.063638901	21.993137	0.002388
0.003	-0.146562	9.6466734e-05	0.064738914	22.007396	0.002388
0.00305	-0.013324	9.9731195e-05	0.06583964	22.021654	0.002388
0.0031	-0.053295	0.00010305071	0.066941079	22.035913	0.002388
0.00315	-0.133238	0.00010642532	0.068043231	22.050171	0.002388
0.0032	-0.186533	0.00010985505	0.069146096	22.06443	0.002388
0.00325	-0.133238	0.00011333994	0.070249674	22.078689	0.002388
0.0033	-0.039971	0.00011688002	0.071353965	22.092947	0.002388
0.00335	-0.093266	0.00012047534	0.072458969	22.107206	0.003582
0.0034	-0.186533	0.00012412593	0.073564686	22.121464	0.003582
0.00345	-0.133238	0.00012783183	0.074671116	22.135723	0.003582
0.0035	-0.053295	0.00013159306	0.075778258	22.149982	0.003582
0.00355	-0.066619	0.00013540966	0.076886114	22.16424	0.003582
0.0036	-0.079943	0.00013928168	0.077994682	22.178499	0.003582
0.00365	-0.146562	0.00014320914	0.079103964	22.192757	0.003582
0.0037	-0.079943	0.00014719209	0.080213958	22.207016	0.003582
0.00375	-0.026648	0.00015123055	0.081324665	22.221275	0.003582
0.0038	-0.066619	0.00015532457	0.082436085	22.235533	0.003582
0.00385	-0.039971	0.00015947417	0.083548219	22.249792	0.003582
0.0039	-0.053295	0.0001636794	0.084661065	22.26405	0.003582
0.00395	-0.026648	0.00016794029	0.085774624	22.278309	0.003582
0.004	-0.053295	0.00017225687	0.086888895	22.292567	0.003582
0.00405	-0.066619	0.00017662919	0.08800388	22.306826	0.003582
0.0041	-0.119914	0.00018105727	0.089119578	22.321085	0.003582
0.00415	-0.053295	0.00018554116	0.090235989	22.335343	0.003582
0.0042	0	0.00019008089	0.091353112	22.349602	0.003582
0.00425	-0.053295	0.00019467648	0.092470949	22.36386	0.003582
0.0043	-0.053295	0.00019932799	0.093589498	22.378119	0.003582
0.00435	-0.146562	0.00020403545	0.094708761	22.392378	0.003582
0.0044	-0.079943	0.00020879888	0.095828736	22.406636	0.003582
0.00445	-0.013324	0.00021361833	0.096949424	22.420895	0.003582
0.0045	-0.079943	0.00021849383	0.098070826	22.435153	0.003582
0.00455	-0.146562	0.00022342543	0.09919294	22.449412	0.003582
0.0046	-0.146562	0.00022841314	0.10031577	22.463671	0.003582
0.00465	0	0.00023345701	0.10143931	22.477929	0.003582
0.0047	-0.039971	0.00023855708	0.10256356	22.492188	0.003582
0.00475	-0.093266	0.00024371338	0.10368853	22.506446	0.003582
0.0048	-0.21318	0.00024892595	0.1048142	22.520705	0.003582
0.00485	-0.119914	0.00025419481	0.1059406	22.534963	0.003582
0.0049	0.039971	0.00025952002	0.1070677	22.549222	0.003582
0.00495	-0.039971	0.0002649016	0.10819552	22.563481	0.003582
0.005	-0.053295	0.00027033958	0.10932405	22.577739	0.003582
0.00505	-0.133238	0.00027583401	0.11045329	22.591998	0.003582
0.0051	-0.053295	0.00028138492	0.11158325	22.606256	0.003582
0.00515	0.026648	0.00028699235	0.11271392	22.620515	0.003582
0.0052	-0.039971	0.00029265633	0.1138453	22.634774	0.003582
0.00525	-0.066619	0.00029837689	0.1149774	22.649032	0.003582
0.0053	-0.053295	0.00030415408	0.1161102	22.663291	0.003582
0.00535	0.013324	0.00030998792	0.11724372	22.677549	0.003582
0.0054	0.026648	0.00031587846	0.11837796	22.691808	0.004777
0.00545	-0.039971	0.00032182573	0.11951291	22.706067	0.004777
0.0055	-0.10659	0.00032782977	0.12064856	22.720325	0.004777
0.00555	0.039971	0.0003338906	0.12178494	22.734584	0.004777
0.0056	-0.026648	0.00034000827	0.12292202	22.748842	0.004777
0.00565	-0.026648	0.00034618281	0.12405982	22.763101	0.004777
0.0057	-0.079943	0.00035241427	0.12519833	22.77736	0.004777
0.00575	-0.10659	0.00035870266	0.12633756	22.791618	0.004777
