Time[s]	Pressure[mbar]	Position_smooth_splines [deg]	Velocity[deg\s]	Aceleration[deg\s2]	Position_original [deg]
0	0.119914	1.3877788e-17	2.7755576e-16	15.428041	1.143341e-09
5e-05	0.21318	1.9291468e-08	0.00077178705	15.443441	0.001194
0.0001	0.133238	7.7191539e-08	0.0015443441	15.458842	0.001194
0.00015	-0.053295	1.7373872e-07	0.0023176713	15.474243	0.001194
0.0002	0.159885	3.089715e-07	0.0030917685	15.489644	0.001194
0.00025	0.186533	4.829284e-07	0.0038666357	15.505045	0.001194
0.0003	0.146562	6.956479e-07	0.0046422729	15.520446	0.001194
0.00035	0.133238	9.4716853e-07	0.0054186803	15.535847	0.001194
0.0004	-0.039971	1.2375288e-06	0.0061958576	15.551247	0.001194
0.00045	0.239828	1.5667671e-06	0.006973805	15.566648	0.001194
0.0005	0.159885	1.9349221e-06	0.0077525224	15.582049	0.001194
0.00055	0.146562	2.3420322e-06	0.0085320099	15.59745	0.001194
0.0006	0.026648	2.7881359e-06	0.0093122674	15.612851	0.001194
0.00065	0	3.2732718e-06	0.010093295	15.628252	0.001194
0.0007	0.199857	3.7974783e-06	0.010875093	15.643652	0.001194
0.00075	0.119914	4.3607939e-06	0.01165766	15.659053	0.001194
0.0008	0.079943	4.9632571e-06	0.012440998	15.674454	0.001194
0.00085	0.066619	5.6049065e-06	0.013225106	15.689855	0.001194
0.0009	0.10659	6.2857805e-06	0.014009983	15.705256	0.001194
0.00095	0.173209	7.0059177e-06	0.014795631	15.720657	0.001194
0.001	0.093266	7.7653565e-06	0.015582049	15.736058	0.001194
0.00105	0.093266	8.5641354e-06	0.016369237	15.751458	0.001194
0.0011	0.119914	9.402293e-06	0.017157195	15.766859	0.001194
0.00115	0.053295	1.0279868e-05	0.017945923	15.78226	0.001194
0.0012	0.199857	1.1196898e-05	0.018735421	15.797661	0.001194
0.00125	0.053295	1.2153423e-05	0.019525689	15.813062	0.001194
0.0013	0.119914	1.314948e-05	0.020316727	15.828463	0.001194
0.00135	0.119914	1.4185108e-05	0.021108535	15.843864	0.001194
0.0014	0.066619	1.5260346e-05	0.021901113	15.859264	0.001194
0.00145	0.10659	1.6375232e-05	0.022694462	15.874665	0.001194
0.0015	0.10659	1.7529805e-05	0.02348858	15.890066	0.001194
0.00155	0.253152	1.8724103e-05	0.024283468	15.905467	0.001194
0.0016	0.253152	1.9958165e-05	0.025079127	15.920868	0.001194
0.00165	0.053295	2.1232029e-05	0.025875555	15.936269	0.001194
0.0017	0.093266	2.2545733e-05	0.026672754	15.951669	0.001194
0.00175	0.133238	2.3899317e-05	0.027470722	15.96707	0.001194
0.0018	0.253152	2.5292818e-05	0.028269461	15.982471	0.001194
0.00185	0.133238	2.6726276e-05	0.029068969	15.997872	0.001194
0.0019	-0.039971	2.8199728e-05	0.029869248	16.013273	0.001194
0.00195	0.159885	2.9713213e-05	0.030670296	16.028674	0.001194
0.002	0.173209	3.1266771e-05	0.031472115	16.044075	0.001194
0.00205	0.226504	3.2860438e-05	0.032274704	16.059475	0.001194
0.0021	0.039971	3.4494254e-05	0.033078063	16.074876	0.001194
0.00215	0.026648	3.6168257e-05	0.033882192	16.090277	0.002388
0.0022	0.226504	3.7882486e-05	0.03468709	16.105678	0.002388
0.00225	0.10659	3.9636979e-05	0.035492759	16.121079	0.002388
0.0023	0.21318	4.1431775e-05	0.036299198	16.13648	0.002388
0.00235	0.079943	4.3266911e-05	0.037106407	16.151881	0.002388
0.0024	0.053295	4.5142428e-05	0.037914386	16.167281	0.002388
0.00245	0.21318	4.7058363e-05	0.038723135	16.182682	0.002388
0.0025	0.119914	4.9014754e-05	0.039532655	16.198083	0.002388
0.00255	0.079943	5.1011641e-05	0.040342944	16.213484	0.002388
0.0026	0.346418	5.3049062e-05	0.041154003	16.228885	0.002388
0.00265	0.133238	5.5127054e-05	0.041965832	16.244286	0.002388
0.0027	0.173209	5.7245658e-05	0.042778432	16.259686	0.002388
0.00275	0.093266	5.940491e-05	0.043591801	16.275087	0.002388
0.0028	0.173209	6.1604851e-05	0.04440594	16.290488	0.002388
0.00285	0.21318	6.3845517e-05	0.04522085	16.305889	0.002388
0.0029	0.119914	6.6126948e-05	0.046036529	16.32129	0.002388
0.00295	0.173209	6.8449183e-05	0.046852979	16.336691	0.002388
0.003	0.10659	7.0812259e-05	0.047670198	16.352092	0.002388
0.00305	0.186533	7.3216216e-05	0.048488188	16.367492	0.002388
0.0031	0.133238	7.5661091e-05	0.049306947	16.382893	0.002388
0.00315	0.066619	7.8146923e-05	0.050126477	16.398294	0.002388
0.0032	0.133238	8.0673751e-05	0.050946777	16.413695	0.002388
0.00325	0.146562	8.3241614e-05	0.051767847	16.429096	0.002388
0.0033	0.239828	8.5850549e-05	0.052589686	16.444497	0.002388
0.00335	0.066619	8.8500595e-05	0.053412296	16.459898	0.002388
0.0034	0.039971	9.1191791e-05	0.054235676	16.475298	0.002388
0.00345	0.159885	9.3924176e-05	0.055059826	16.490699	0.002388
0.0035	0.226504	9.6697787e-05	0.055884746	16.5061	0.002388
0.00355	0.186533	9.9512663e-05	0.056710436	16.521501	0.002388
0.0036	0.066619	0.00010236884	0.057536896	16.536902	0.002388
0.00365	-0.039971	0.00010526637	0.058364126	16.552303	0.002388
0.0037	0.133238	0.00010820527	0.059192127	16.567703	0.002388
0.00375	0.173209	0.00011118559	0.060020897	16.583104	0.002388
0.0038	0.159885	0.00011420737	0.060850437	16.598505	0.003582
0.00385	0	0.00011727065	0.061680747	16.613906	0.003582
0.0039	-0.013324	0.00012037546	0.062511828	16.629307	0.003582
0.00395	0.186533	0.00012352184	0.063343678	16.644708	0.003582
0.004	0.146562	0.00012670984	0.064176298	16.660109	0.003582
0.00405	0.133238	0.00012993949	0.065009689	16.675509	0.003582
0.0041	0.013324	0.00013321082	0.065843849	16.69091	0.003582
0.00415	0.093266	0.00013652388	0.06667878	16.706311	0.003582
0.0042	0.119914	0.00013987871	0.06751448	16.721712	0.003582
0.00425	0.133238	0.00014327534	0.068350951	16.737113	0.003582
0.0043	0.053295	0.00014671382	0.069188192	16.752514	0.003582
0.00435	0.026648	0.00015019418	0.070026202	16.767914	0.003582
0.0044	0.066619	0.00015371645	0.070864983	16.783315	0.003582
0.00445	0.079943	0.00015728069	0.071704534	16.798716	0.003582
0.0045	0.013324	0.00016088692	0.072544855	16.814117	0.003582
0.00455	0.133238	0.00016453519	0.073385946	16.829518	0.003582
0.0046	0.10659	0.00016822553	0.074227806	16.844919	0.003582
0.00465	0.026648	0.00017195798	0.075070437	16.86032	0.003582
0.0047	0.066619	0.00017573258	0.075913838	16.87572	0.003582
0.00475	0.039971	0.00017954938	0.076758009	16.891121	0.003582
0.0048	0.239828	0.0001834084	0.077602951	16.906522	0.003582
0.00485	-0.10659	0.00018730968	0.078448662	16.921923	0.003582
0.0049	0.066619	0.00019125328	0.079295143	16.937324	0.003582
0.00495	0	0.00019523921	0.080142394	16.952725	0.003582
0.005	0.066619	0.00019926753	0.080990415	16.968126	0.003582
0.00505	0.21318	0.00020333827	0.081839207	16.983526	0.003582
0.0051	0.053295	0.00020745146	0.082688768	16.998927	0.003582
0.00515	-0.053295	0.00021160716	0.083539099	17.014328	0.003582
0.0052	0.066619	0.00021580538	0.084390201	17.029729	0.003582
0.00525	0.10659	0.00022004619	0.085242072	17.04513	0.003582
0.0053	0.159885	0.0002243296	0.086094714	17.060531	0.003582
0.00535	0.053295	0.00022865567	0.086948125	17.075931	0.003582
0.0054	0.013324	0.00023302443	0.087802307	17.091332	0.003582
0.00545	0.159885	0.00023743592	0.088657259	17.106733	0.003582
0.0055	0.079943	0.00024189017	0.08951298	17.122134	0.003582
0.00555	0.146562	0.00024638723	0.090369472	17.137535	0.003582
0.0056	-0.066619	0.00025092713	0.091226734	17.152936	0.003582
0.00565	0.053295	0.00025550991	0.092084766	17.168337	0.003582
0.0057	0.10659	0.00026013562	0.092943567	17.183737	0.004777
0.00575	0.079943	0.00026480428	0.093803139	17.199138	0.004777
0.0058	0.039971	0.00026951594	0.094663481	17.214539	0.004777
0.00585	-0.026648	0.00027427064	0.095524593	17.22994	0.004777
0.0059	0.10659	0.00027906842	0.096386475	17.245341	0.004777
0.00595	0.119914	0.0002839093	0.097249127	17.260742	0.004777
0.006	0.079943	0.00028879334	0.098112549	17.276143	0.004777
0.00605	0.066619	0.00029372057	0.098976742	17.291543	0.004777
0.0061	0.066619	0.00029869103	0.099841704	17.306944	0.004777
0.00615	0.026648	0.00030370475	0.10070744	17.322345	0.004777
0.0062	0.10659	0.00030876179	0.10157394	17.337746	0.004777
0.00625	0	0.00031386216	0.10244121	17.353147	0.004777
0.0063	0.079943	0.00031900592	0.10330925	17.368548	0.004777
0.00635	0.026648	0.0003241931	0.10417807	17.383948	0.004777
0.0064	0	0.00032942374	0.10504765	17.399349	0.004777
0.00645	0.013324	0.00033469788	0.105918	17.41475	0.004777
0.0065	0.013324	0.00034001555	0.10678912	17.430151	0.004777
0.00655	0.186533	0.0003453768	0.10766102	17.445552	0.004777
0.0066	0.026648	0.00035078167	0.10853368	17.460953	0.004777
0.00665	0.039971	0.00035623018	0.10940711	17.476354	0.004777
0.0067	0.013324	0.00036172239	0.11028131	17.491754	0.004777
0.00675	0.186533	0.00036725833	0.11115629	17.507155	0.004777
0.0068	0.186533	0.00037283803	0.11203203	17.522556	0.004777
0.00685	0.039971	0.00037846154	0.11290854	17.537957	0.004777
0.0069	-0.079943	0.0003841289	0.11378582	17.553358	0.004777
0.00695	0.066619	0.00038984014	0.11466388	17.568759	0.004777
0.007	0.133238	0.0003955953	0.1155427	17.584159	0.004777
0.00705	0.173209	0.00040139442	0.11642229	17.59956	0.004777
0.0071	-0.053295	0.00040723754	0.11730266	17.614961	0.004777
0.00715	-0.013324	0.0004131247	0.11818379	17.630362	0.004777
0.0072	0.146562	0.00041905593	0.11906569	17.645763	0.004777
0.00725	0.079943	0.00042503128	0.11994837	17.661164	0.004777
0.0073	0.119914	0.00043105078	0.12083181	17.676565	0.004777
0.00735	-0.013324	0.00043711448	0.12171602	17.691965	0.005971
0.0074	0.026648	0.0004432224	0.12260101	17.707366	0.005971
0.00745	0.079943	0.00044937459	0.12348676	17.722767	0.005971
0.0075	0.053295	0.00045557109	0.12437328	17.738168	0.005971
0.00755	0	0.00046181193	0.12526058	17.753569	0.005971
0.0076	0.039971	0.00046809716	0.12614864	17.76897	0.005971
0.00765	0.066619	0.00047442681	0.12703747	17.784371	0.005971
0.0077	0.066619	0.00048080092	0.12792708	17.799771	0.005971
0.00775	-0.013324	0.00048721953	0.12881745	17.815172	0.005971
0.0078	0.10659	0.00049368267	0.12970859	17.830573	0.005971
0.00785	0.10659	0.0005001904	0.13060051	17.845974	0.005971
0.0079	0.039971	0.00050674274	0.13149319	17.861375	0.005971
0.00795	0.093266	0.00051333973	0.13238664	17.876776	0.005971
0.008	0.013324	0.00051998142	0.13328087	17.892176	0.005971
0.00805	0.159885	0.00052666783	0.13417586	17.907577	0.005971
0.0081	0.053295	0.00053339901	0.13507163	17.922978	0.005971
0.00815	-0.013324	0.00054017501	0.13596816	17.938379	0.005971
0.0082	0.013324	0.00054699584	0.13686546	17.95378	0.005971
0.00825	0.053295	0.00055386157	0.13776354	17.969181	0.005971
0.0083	0.173209	0.00056077221	0.13866238	17.984582	0.005971
0.00835	0	0.00056772782	0.139562	17.999982	0.005971
0.0084	-0.066619	0.00057472842	0.14046238	18.015383	0.005971
0.00845	0.079943	0.00058177407	0.14136353	18.030784	0.005971
0.0085	0.146562	0.00058886479	0.14226546	18.046185	0.005971
0.00855	0.146562	0.00059600063	0.14316815	18.061586	0.005971
0.0086	0.039971	0.00060318162	0.14407162	18.076987	0.005971
0.00865	-0.079943	0.0006104078	0.14497585	18.092388	0.005971
0.0087	0.093266	0.00061767921	0.14588086	18.107788	0.005971
0.00875	0.119914	0.0006249959	0.14678663	18.123189	0.005971
0.0088	0.173209	0.00063235789	0.14769317	18.13859	0.005971
0.00885	-0.039971	0.00063976523	0.14860049	18.153991	0.005971
0.0089	-0.026648	0.00064721795	0.14950857	18.169392	0.005971
0.00895	0.133238	0.0006547161	0.15041743	18.184793	0.005971
